Year,State,County,Uninsured #,Uninsured %,Uninsured 95% CI - Low, Uninsured 95% CI - High, Uninsured Z-Score,Adults Uninsured # ,Adults Uninsured % ,Adults Uninsured 95% CI - Low,Adults Uninsured 95% CI - High,Children Uninsured #,Children Uninsured %,Children Uninsured 95% CI - Low,Children Uninsured 95% CI - High,Unemployed # ,Labor Force,Unemployed %,Unemployed Z-Score,Severe Housing Problems %,Severe housing problems 95% CI - Low,Severe housing problems 95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Severe housing problems Z-Score,Homeowners #,Homeowners % ,Homeowners 95% CI - Low,Homeowners 95% CI - High,Households with Severe Cost Burden #,Severe Housing Cost Burden %,Severe housing cost burden 95% CI - Low,Severe housing cost burden 95% CI - High
2022,Wyoming,Carbon,2029,18,16,20,0.79,1579,19,17,22,480,14,10,18,368,8111,4.5,-0.75,11,8,14,8,4,0,-0.11,4398,71,68,73,528,9,6,12
2022,Wyoming,Converse,1564,14,12,15,-0.73,1234,15,13,18,358,10,7,13,486,8163,6,0.47,7,4,11,5,3,0,-1.26,4177,76,71,82,247,5,2,7
2022,Wyoming,Crook,1021,17,15,19,0.58,732,18,15,20,305,16,11,20,151,3908,3.9,-1.32,12,7,16,9,2,2,0.04,2241,79,74,85,262,10,6,15
2022,Wyoming,Fremont,6931,22,20,25,2.6,5141,24,22,27,1895,18,14,23,1206,19326,6.2,0.72,13,11,15,7,4,2,0.35,10383,70,68,72,1218,9,7,10
2022,Wyoming,Goshen,1413,16,13,18,-0.03,1157,17,15,20,277,11,8,14,284,6639,4.3,-0.97,10,7,14,9,1,1,-0.37,3791,72,69,76,550,11,6,16
2022,Wyoming,Hot Springs,476,15,13,17,-0.17,385,17,14,20,98,11,8,14,113,2249,5,-0.33,9,5,13,8,1,0,-0.8,1555,71,69,74,184,9,3,15
2022,Wyoming,Johnson,889,14,12,16,-0.61,689,15,13,18,211,11,8,15,232,4192,5.5,0.11,15,9,21,14,1,2,0.98,2808,71,65,77,282,8,4,12
2022,Wyoming,Laramie,9645,12,11,13,-1.45,7824,13,12,15,1961,8,6,10,2595,50826,5.1,-0.26,12,11,14,11,2,1,0.2,29169,73,71,75,3949,10,8,12
2022,Wyoming,Lincoln,2607,16,14,18,0.19,1906,17,15,20,745,14,10,17,466,9373,5,-0.37,9,7,12,7,2,1,-0.62,5906,80,78,83,424,6,3,9
2022,Wyoming,Natrona,9564,15,13,16,-0.41,7875,17,15,19,1823,9,7,12,3181,40710,7.8,2.07,11,9,12,8,2,1,-0.32,23220,71,69,73,3043,9,8,11
2022,Wyoming,Niobrara,294,19,16,22,1.33,238,21,18,24,61,14,10,19,48,1265,3.8,-1.38,16,7,26,15,2,1,1.32,681,76,67,85,101,13,4,21
2022,Wyoming,Park,3022,14,12,16,-0.63,2444,15,13,18,625,10,7,13,831,15380,5.4,0,9,7,12,8,1,1,-0.66,9243,74,69,78,999,8,6,11
2022,Wyoming,Platte,916,15,13,17,-0.24,726,16,14,19,203,12,8,15,233,4651,5,-0.34,9,5,13,9,0,0,-0.82,2916,76,71,81,357,10,4,15
2022,Wyoming,Sheridan,3230,14,12,16,-0.66,2635,16,13,18,642,10,7,13,801,16210,4.9,-0.4,13,10,15,11,1,1,0.28,8991,68,65,71,1704,13,10,17
2022,Wyoming,Sublette,1198,15,13,17,-0.12,909,16,14,18,306,14,10,17,294,4059,7.2,1.58,6,2,10,5,0,0,-1.65,2932,83,81,85,247,7,3,12
2022,Wyoming,Sweetwater,5044,14,12,16,-0.67,4026,16,14,18,1103,10,7,12,1532,20840,7.4,1.67,10,8,12,8,2,1,-0.46,11852,75,73,78,1332,9,6,11
2022,Wyoming,Teton,3472,17,15,20,0.72,2807,18,16,21,705,16,12,20,912,15204,6,0.51,18,13,23,10,7,3,1.85,5609,56,52,60,1129,12,8,15
2022,Wyoming,Uinta,2394,14,12,16,-0.59,1823,16,14,18,613,10,7,14,582,9312,6.3,0.73,11,7,14,8,3,1,-0.32,5996,77,73,81,426,6,3,8
2022,Wyoming,Washakie,943,16,14,18,0.1,763,18,15,20,194,11,8,14,211,4004,5.3,-0.12,8,6,11,6,2,1,-0.9,2510,73,68,78,189,6,3,9
2022,Wyoming,Weston,740,14,12,16,-0.5,583,15,13,18,167,11,8,15,148,3836,3.9,-1.33,13,7,18,11,2,1,0.26,2419,84,82,86,259,9,5,14
2022,South Carolina,Abbeville,2485,14,12,16,0.07,2228,17,14,19,283,6,4,7,670,10124,6.6,0,15,12,18,14,1,0,0.3,7193,75,69,81,1141,13,9,17
2022,South Carolina,Aiken,17918,13,12,15,-0.12,15979,16,14,18,2159,6,4,7,3788,75531,5,-1.13,13,12,14,11,2,1,-0.4,50318,74,72,75,7421,11,10,13
2022,South Carolina,Allendale,618,11,9,13,-1.56,563,13,11,16,61,4,2,5,249,2641,9.4,1.98,15,9,20,13,2,1,0.31,2347,69,63,74,455,14,8,21
2022,South Carolina,Anderson,21364,13,12,15,-0.22,18466,16,14,17,3153,7,5,9,5402,90877,5.9,-0.47,13,12,14,11,2,1,-0.42,57104,73,71,74,7569,10,9,11
2022,South Carolina,Bamberg,1281,13,11,15,-0.47,1158,15,13,18,140,5,4,7,438,4846,9,1.7,14,9,19,12,2,0,-0.08,3910,77,68,86,485,10,6,15
2022,South Carolina,Barnwell,1928,12,10,13,-1.04,1704,14,12,17,250,5,3,7,587,7972,7.4,0.52,15,11,18,13,3,0,0.23,6285,72,68,77,1214,16,11,20
2022,South Carolina,Beaufort,19110,14,13,16,0.5,16382,17,15,19,2958,8,6,10,4166,77127,5.4,-0.86,17,15,18,15,2,1,1.05,55533,75,74,76,9953,14,12,15
2022,South Carolina,Berkeley,23493,12,11,14,-0.73,20421,15,13,16,3366,6,4,8,5874,104916,5.6,-0.72,13,12,14,11,2,0,-0.56,57554,72,71,74,9048,12,11,13
2022,South Carolina,Calhoun,1429,13,11,15,-0.27,1255,15,13,18,191,7,5,9,399,6572,6.1,-0.38,17,12,22,14,2,2,1.35,5062,81,77,86,656,11,7,16
2022,South Carolina,Charleston,43577,13,12,14,-0.26,38038,15,14,16,5944,7,5,9,13387,211939,6.3,-0.21,18,17,19,17,1,1,1.6,101589,62,61,63,25594,16,15,17
2022,South Carolina,Cherokee,6303,14,12,16,0.08,5663,17,14,19,701,5,4,7,2039,25302,8.1,1.01,10,9,12,10,1,0,-1.54,14722,71,68,74,1849,10,8,12
2022,South Carolina,Chester,3169,12,11,14,-0.64,2831,15,13,17,369,5,3,7,1220,13646,8.9,1.63,13,11,15,11,2,0,-0.33,10133,79,77,81,1429,12,9,14
2022,South Carolina,Chesterfield,5393,15,13,17,0.8,4842,18,16,21,607,6,4,8,1323,21834,6.1,-0.39,14,12,16,10,4,1,-0.04,12727,70,67,72,1716,10,7,13
2022,South Carolina,Clarendon,3471,15,13,17,0.63,3144,18,15,20,363,6,4,7,863,12737,6.8,0.11,14,11,16,11,3,1,-0.18,9875,77,76,79,1278,11,9,13
2022,South Carolina,Colleton,4497,15,13,17,1.06,3965,19,16,21,569,7,4,9,1015,16732,6.1,-0.39,11,9,14,10,1,1,-1.05,11326,74,71,78,1490,11,8,14
2022,South Carolina,Darlington,6625,13,11,15,-0.43,5996,16,14,18,701,5,3,6,1979,30521,6.5,-0.09,14,13,16,13,2,1,0.15,18192,70,67,72,3185,13,11,15
2022,South Carolina,Dillon,4073,17,15,19,1.83,3657,21,19,24,453,6,4,8,814,13238,6.1,-0.33,17,14,20,14,3,1,1.12,6551,59,54,63,1417,15,12,19
2022,South Carolina,Dorchester,16151,12,10,13,-1.04,14031,14,12,16,2314,6,4,7,4519,77693,5.8,-0.56,15,13,16,13,2,0,0.33,41270,72,71,74,7649,14,12,16
2022,South Carolina,Edgefield,2641,14,12,15,0.09,2323,16,14,18,355,7,5,9,552,10799,5.1,-1.06,12,10,15,11,2,0,-0.73,6953,76,73,79,918,11,8,14
2022,South Carolina,Fairfield,2044,12,10,14,-0.8,1816,14,12,16,248,6,4,8,760,9637,7.9,0.89,17,12,21,16,2,0,1.03,7014,75,62,89,1231,14,10,18
2022,South Carolina,Florence,13857,12,11,14,-0.6,12400,16,14,17,1616,5,3,6,3744,67150,5.6,-0.73,14,13,16,12,2,1,0.1,34750,66,64,68,6144,12,11,14
2022,South Carolina,Georgetown,6251,14,12,16,0.39,5611,17,15,19,705,6,4,8,1965,26175,7.5,0.63,16,14,18,14,1,1,0.68,20552,80,78,81,3152,13,11,15
2022,South Carolina,Greenville,57215,13,12,14,-0.14,50840,16,15,18,7150,6,5,7,14613,255984,5.7,-0.64,12,12,13,10,2,1,-0.66,135145,68,67,69,21135,11,10,12
2022,South Carolina,Greenwood,7827,14,13,16,0.46,6987,18,15,20,924,6,4,8,2012,31628,6.4,-0.18,15,13,17,13,2,1,0.44,17439,62,60,65,3454,13,10,15
2022,South Carolina,Hampton,1895,13,12,15,-0.04,1675,16,14,19,239,6,4,8,411,8234,5,-1.14,6,4,8,6,0,0,-3,5237,76,73,78,412,6,4,9
2022,South Carolina,Horry,46935,18,16,20,2.59,43265,22,20,24,4037,6,5,8,12741,147697,8.6,1.41,15,15,16,14,2,1,0.53,100572,74,73,75,17567,13,12,14
2022,South Carolina,Jasper,4358,19,17,22,3.35,3925,23,20,27,469,8,5,10,657,12804,5.1,-1.05,19,15,23,15,4,0,1.9,7885,74,70,77,1462,14,10,18
2022,South Carolina,Kershaw,6595,12,11,14,-0.71,5836,15,13,17,841,5,4,7,1566,29490,5.3,-0.92,13,11,15,13,1,0,-0.32,20496,81,79,83,3132,13,11,15
